,0
272,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ001}? [Not in the last 6 months]
273,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ001}? [Once in the last 6 months]
274,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ001}? [Multiple times in the last 6 months]
275,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ001}? [Multiple times a month]
276,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ001}? [Weekly]
277,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ001}? [Multiple times a week]
278,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ002}? [Not in the last 6 months]
279,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ002}? [Once in the last 6 months]
280,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ002}? [Multiple times in the last 6 months]
281,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ002}? [Multiple times a month]
282,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ002}? [Weekly]
283,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ002}? [Multiple times a week]
284,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ003}? [Not in the last 6 months]
285,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ003}? [Once in the last 6 months]
286,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ003}? [Multiple times in the last 6 months]
287,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ003}? [Multiple times a month]
288,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ003}? [Weekly]
289,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ003}? [Multiple times a week]
290,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ004}? [Not in the last 6 months]
291,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ004}? [Once in the last 6 months]
292,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ004}? [Multiple times in the last 6 months]
293,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ004}? [Multiple times a month]
294,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ004}? [Weekly]
295,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ004}? [Multiple times a week]
296,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ005}? [Not in the last 6 months]
297,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ005}? [Once in the last 6 months]
298,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ005}? [Multiple times in the last 6 months]
299,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ005}? [Multiple times a month]
300,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ005}? [Weekly]
301,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ005}? [Multiple times a week]
302,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ006}? [Not in the last 6 months]
303,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ006}? [Once in the last 6 months]
304,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ006}? [Multiple times in the last 6 months]
305,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ006}? [Multiple times a month]
306,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ006}? [Weekly]
307,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ006}? [Multiple times a week]
308,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ007}? [Not in the last 6 months]
309,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ007}? [Once in the last 6 months]
310,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ007}? [Multiple times in the last 6 months]
311,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ007}? [Multiple times a month]
312,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ007}? [Weekly]
313,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ007}? [Multiple times a week]
314,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ008}? [Not in the last 6 months]
315,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ008}? [Once in the last 6 months]
316,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ008}? [Multiple times in the last 6 months]
317,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ008}? [Multiple times a month]
318,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ008}? [Weekly]
319,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ008}? [Multiple times a week]
320,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ009}? [Not in the last 6 months]
321,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ009}? [Once in the last 6 months]
322,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ009}? [Multiple times in the last 6 months]
323,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ009}? [Multiple times a month]
324,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ009}? [Weekly]
325,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ009}? [Multiple times a week]
326,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ010}? [Not in the last 6 months]
327,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ010}? [Once in the last 6 months]
328,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ010}? [Multiple times in the last 6 months]
329,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ010}? [Multiple times a month]
330,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ010}? [Weekly]
331,How often does {INSERTANS:815499X2X10} work together with {INSERTANS:815499X2X278SQ010}? [Multiple times a week]
